activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,04-06,RETEST24,2.0,48,461,-101.0,26.0,0.7,-104.0,271,-13.0,31.7,0.93,-26.0,225,21.0,36.4,1.15,-14.0
XAUUSDm,04-06,RETEST24,2.5,24,456,-80.5,23.5,0.77,-88.0,268,-23.0,26.1,0.88,-35.0,218,31.5,32.6,1.22,-14.5
XAUUSDm,04-06,RETEST24,2.5,48,456,-81.5,23.5,0.77,-89.0,268,-23.0,26.1,0.88,-35.0,218,30.5,32.6,1.21,-14.5
XAUUSDm,04-06,RETEST24,3.0,24,454,-80.0,20.5,0.78,-88.0,267,-30.0,22.1,0.86,-49.0,216,34.0,28.7,1.22,-15.0
XAUUSDm,04-06,RETEST24,3.0,48,454,-82.0,20.5,0.77,-90.0,267,-27.0,22.5,0.87,-46.0,216,36.0,29.2,1.24,-13.0
XAUUSDm,04-06,RETEST48,2.0,24,293,-55.0,27.0,0.74,-57.0,185,-14.0,30.8,0.89,-29.0,133,8.0,35.3,1.09,-10.0
XAUUSDm,04-06,RETEST48,2.0,48,293,-56.0,27.0,0.74,-58.0,185,-14.0,30.8,0.89,-29.0,133,8.0,35.3,1.09,-10.0
XAUUSDm,04-06,RETEST48,2.5,24,292,-42.5,24.3,0.81,-47.5,183,-25.5,24.6,0.82,-35.5,130,7.5,30.0,1.08,-11.0
XAUUSDm,04-06,RETEST48,2.5,48,292,-43.5,24.3,0.8,-48.5,183,-25.5,24.6,0.82,-35.5,130,6.5,30.0,1.07,-12.0
XAUUSDm,04-06,RETEST48,3.0,24,291,-49.0,20.6,0.79,-59.0,182,-29.0,20.9,0.8,-47.0,129,-7.0,23.3,0.93,-20.0
XAUUSDm,04-06,RETEST48,3.0,48,291,-51.0,20.6,0.78,-61.0,182,-26.0,21.4,0.82,-44.0,129,-5.0,24.0,0.95,-18.0
XAUUSDm,04-06,VWAP,2.0,24,184,20.0,37.0,1.17,-18.0,103,13.0,36.9,1.21,-8.0,128,10.0,35.9,1.12,-12.0
XAUUSDm,04-06,VWAP,2.0,48,184,20.0,37.0,1.17,-18.0,103,14.0,37.9,1.22,-8.0,128,10.0,35.9,1.12,-12.0
XAUUSDm,04-06,VWAP,2.5,24,179,29.5,33.0,1.25,-20.5,99,-12.0,24.2,0.83,-16.0,127,20.0,33.1,1.24,-9.5
XAUUSDm,04-06,VWAP,2.5,48,179,34.5,34.1,1.29,-20.5,99,-11.5,25.3,0.84,-16.0,127,20.0,33.1,1.24,-9.5
XAUUSDm,04-06,VWAP,3.0,24,177,41.0,30.5,1.34,-23.0,99,-8.0,22.2,0.89,-19.0,125,31.0,31.2,1.36,-9.0
XAUUSDm,04-06,VWAP,3.0,48,177,47.0,31.6,1.39,-18.0,99,-7.0,23.2,0.91,-19.0,125,31.0,31.2,1.36,-9.0
XAUUSDm,04-06,RSI2,2.0,24,418,-46.0,29.7,0.84,-55.0,236,-14.0,31.4,0.91,-35.0,224,13.0,35.3,1.09,-19.0
