entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1772737200,1772754120,sell,5069.9075,5096.93690291458,5002.788992713551,0.22,-5.946468641207557,-1
1772761860,1772786040,sell,5133.2625,5104.165954334011,5065.9811688881355,0.22,6.401240046517524,-1
1772786700,1772791800,sell,5108.0435,5084.604122231876,5054.507130474256,0.27,6.328631997393332,-1
1772791860,1772804400,buy,5086.526,5122.279220465221,5138.612063519647,0.28,10.01090173026205,-1
1772811660,1773009660,buy,5153.8769999999995,5128.387042615874,5217.146893460314,0.23,-5.862690198348928,-1
1773014400,1773015720,sell,5073.9555,5044.166783041006,4999.647334168555,0.2,5.957743391798795,-1
1773019800,1773035520,buy,5074.957,5130.388330405475,5154.398582557771,0.18,9.977639472985484,-1
1773036000,1773039780,buy,5126.005,5095.224970077481,5202.500074806298,0.19,-5.848205685278636,-1
1773040320,1773048780,sell,5099.902999999999,5129.58454207091,5026.154144822723,0.2,-5.936308414182168,-1
1773049080,1773052200,buy,5125.967,5096.9603581123265,5198.028604719182,0.2,-5.801328377534628,-1
1773052680,1773065520,buy,5093.185,5064.684689675732,5163.98077581067,0.21,-5.985065168096271,-1
1773065820,1773067740,buy,5074.3820000000005,5102.321721820986,5145.684009082896,0.2,5.587944364197028,-1
1773072000,1773082680,sell,5098.465,5125.40113782655,5031.579655433626,0.22,-5.925950321841064,-1
1773082980,1773098340,sell,5127.946499999999,5153.666515745236,5064.101460636907,0.23,-5.915603621404535,-1
1773112500,1773132000,sell,5166.673,5190.807334201025,5106.792164497438,0.24,-5.792240208246003,-1
1773142200,1773149400,buy,5182.774,5221.478891570469,5231.485068176795,0.3,11.611467471140713,-1
1773150300,1773157920,buy,5206.42,5228.647970989455,5258.086084295297,0.28,6.223831877047306,-1
1773168420,1773219060,sell,5203.553999999999,5186.351184569139,5147.961994131437,0.26,4.472732012023608,-1
1773221580,1773234180,sell,5192.928499999999,5170.659061843289,5149.27136236759,0.34,7.571608973281346,-1
1773234240,1773239400,sell,5174.89,5193.273727820901,5129.38568044775,0.32,-5.882792902688088,-1
1773239700,1773247020,sell,5187.4105,5172.236583935752,5141.993346130053,0.32,4.855653140559443,-1
1773247140,1773269940,sell,5174.4085000000005,5137.707483933954,5130.318045897853,0.33,12.111335301795371,-1
1773274500,1773277260,sell,5141.0935,5160.039767037515,5094.182832406213,0.31,-5.873342781629681,-1
1773279780,1773293520,sell,5166.105500000001,5145.25742137189,5119.520308662913,0.32,6.671385160995414,-1
